error,id,stage,status
,0xSero/GLM-4.7-REAP-40,model,not_found
,0xA50C1A1/phi-4-heretic,model,not_found
,AImhotep/GLM-4.7-REAP-25P-W4A16,model,not_found
,ClashLuke/affine-q2e,model,not_found
,DavidAU/Qwen3-42B-A3B-YOYO-V5-TOTAL-RECALL-NEO-imatrix-GGUF,model,not_found
,Gianloko/apex-coder-7b,model,not_found
,Khej-Trhyk/OpenAi-GPT-oss-20b-abliterated-uncensored-NEO-Imatrix-gguf,model,not_found
,MarisUK/Qwen3.5-397B-A17B,model,not_found
,PinkPixel/Crystal-Think-V2,model,not_found
,SnurfyAI/Sn-CodeExplainer-0.5B,model,not_found
,VINAY-UMRETHE/Nanbeige4.1-3B-heretic-OG-Test2,model,not_found
,Akicou/GLM-4.7-Flash-REAP-09,model,not_found
,Abdulmohsena/Qwen3-8B-heretic,model,not_found
,DJLougen/Nemotron-Research-GooseReason-4B-Instruct-MLX-16bit,model,not_found
,DJLougen/LocoOperator-4B-NVFP4,model,not_found
,DogOnKeyboard/Qwen3-14B-heretic,model,not_found
,DavidAU/Qwen3-Esper3-Reasoning-CODER-Instruct-21B-Brainstorm20x,model,not_found
,JamesQuartz/QT_V.2_Code_114K,model,not_found
,LH-Tech-AI/Axiom-1-Coder-Instruct-350M,model,not_found
,Nabbers1999/Qwen2.5-Coder-32B-Instruct-abliterated,model,not_found
,QtGroup/CodeLlama-13B-QML,model,not_found
,Trilogix1/Hugston-Lamapinext-ocr-f32,model,not_found
,Zephyr271828/SDAR-4B-Chat-MTP,model,not_found
,AsithaLKonara/jarvis-llm-brain,model,not_found
,ayafei/Affine-bbb2,model,not_found
,Daemontatox/Qwen3-4B-Instruct-2507-bnb-4bit,model,not_found
,cryptominerdev1106/Affine-wow_5Dq9kciFew7rNz9aCfvFEV3nGjuhLQfZ5kz3k8xFjot3g1Mh,model,not_found
,FlatFootInternational/Qwen3-4B-Thinking-Claude-4.5-Sonnet-Reasoning,model,not_found
,cveavy/Affine-cvea7-5HB8q6Bs6hxzwDXUFRhmHmiMFxWRZ4VZ3Cbt6XfG1g4GeH9r,model,not_found
,Kanonenbombe/nano,model,not_found
,dealignai/Qwen3.5-VL-27B-4bit-MLX-CRACK,model,not_found
,MXFP4-Community/Qwen3-Coder-Next-80B-A3B-MXFP4-MLX,model,not_found
,dealignai/Qwen3.5-VL-9B-8bit-MLX-CRACK,model,not_found
,Nathan-Maine/cmmc-expert-72b-v2.0,model,not_found
,enhanceaiteam/xea-llama,model,not_found
,Sha09090/hdfs-failure-prediction,model,not_found
,gold24k/qwen3-8b,model,not_found
,VINAY-UMRETHE/Nanbeige4.1-3B-heretic-OG-Test-3,model,not_found
,jaman21/Qwen3-4B-Instruct,model,not_found
,aeon37/Alice-32B,model,not_found
,models123/Step-3.5-Flash-FP8,model,not_found
,ayafei/Affine-blobs-1,model,not_found
,neuralchemy/prompt-injection-dectector-ml-models,model,not_found
,cveavy/Affine-cvea10-5HE2MV4S9uzffcAXJJEvGdEHYmRxmSEBwiUgcCqGAAZGh8vt,model,not_found
,nightmedia/Qwen3-30B-A3B-DS9-mlx,model,not_found
,cyankiwi/FrogBoss-32B-2510-AWQ-4bit,model,not_found
