"model_id","SE_task_name","SE_activity","se_reasoning"
"QuantFactory/gemma-2b-aps-it-GGUF","Use Cases Generation","Requirements engineering"," The model card explicitly states the model's purpose: ""Gemma-APS is a generative model and a research tool for abstractive proposition segmentation (APS for short), a.k.a. claim extraction. Given a text passage, the model segments the content into the individual facts, statements, and ideas expressed in the text, and restates them in full sentences with small changes to the original text."" This directly relates to requirement analysis and evaluation, as it breaks down textual information into meaningful components, which is crucial for understanding and defining requirements. The model is also mentioned to be applicable to 'grounding, retrieval, fact-checking, and evaluation of generation tasks', which are all relevant to the RE phase. The abstract of the associated paper further supports this, stating the model's purpose is to ""transforming text into simple, self-contained, well-formed sentences,"" which aligns with clarifying and formalizing requirements."
"RichardErkhov/google_-_gemma-2b-aps-it-gguf","Use Cases Generation","Requirements engineering"," The model card explicitly states that Gemma-APS is for ""abstractive proposition segmentation"", also known as ""claim extraction."" The abstract of the linked paper also mentions the task of segmenting text into fine-grained units of meaning for NLP applications. This falls under requirement analysis and evaluation, which directly supports the process of defining, documenting, or managing software requirements."
"RichardErkhov/google_-_gemma-7b-aps-it-gguf","Use Cases Generation","Requirements engineering"," The model card explicitly states the model can be used for research where there is a need to break down text content into meaningful components. Applications include grounding, retrieval, fact-checking, and evaluation of generation tasks (such as summarization) where it can be useful to divide up individual propositions (claims) so that they can be processed independently."""
"ShivamSrng/before_covid_distance_learning_best_features","Requirements Engineering","Requirements engineering"," Topic 47 includes ""requirements engineering"" and ""learning concepts requirements engineering""."""
"amgharhind/srd2plantUml_codet5base_V2","Software Requirement","Requirements engineering"," The model generates UML diagrams from software requirements documents (SRD). This directly supports the process of documenting and visualizing software requirements, a key aspect of the Requirements Engineering phase."
"amgharhind/srd2plantUml_codet5base_V2","System Design","Software design"," The model is designed to generate UML diagrams from software requirements documents, which directly supports transforming requirements into design specifications during the Software Design phase."
"amgharhind/srd2plantUml_codet5base_V2","Software Design","Software design"," The model is designed to generate UML diagrams from software requirements documents, which directly supports transforming requirements into design specifications during the Software Design phase."
"amgharhind/srd2plantUml_codet5base_V2","Code Understanding","Software implementation"," The model generates PlantUML diagrams from software requirements documents, which falls under code generation from specifications and can be used for code documentation. The paper also mentions the model's ability to perform NL-PL (natural language to programming language) tasks."
"denizspynk/req_mod_ner_modelv2","Software Requirement","Requirements engineering"," The model extracts software requirements related named entities. It is explicitly designed for automated extraction of functionality concepts from source documents for which software requirements are needed. The model uses IOB2 labels, including Actor, COTS, Function, Result, Entity, and Attribute, all directly relevant to defining and documenting software requirements."
"denizspynk/requirements_ambiguity_v2","Software Requirement","Requirements engineering"," The model card explicitly states that the model performs automated ambiguity detection to detect spurious and ambiguous formulations, which is a relevant process within the Requirements Engineering phase."""
