"model_id","base_id","inference_type","confidence","inference_source"
"RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16","meta-llama/Llama-3.1-8B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-8B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w4a16' -> 'RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16'"
"RedHatAI/starcoder2-15b-quantized.w8a8","bigcode/starcoder2-15b","quantized","high","openai_inference"
"RedHatAI/Llama-2-7b-evolcodealpaca","meta-llama/Llama-2-7b-hf","finetune","high","explicit_tag | base_model:finetune:meta-llama/Llama-2-7b-hf | validated: child_id 'neuralmagic/Llama-2-7b-evolcodealpaca' -> 'RedHatAI/Llama-2-7b-evolcodealpaca'"
"RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-quantized.w4a16","RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4","quantized","high","explicit_tag | base_model:quantized:RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4 | validated: child_id 'neuralmagic/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-quantized.w4a16' -> 'RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-quantized.w4a16'"
"RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8","meta-llama/Llama-3.1-70B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-70B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-70B-Instruct-quantized.w8a8' -> 'RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8'"
"RedHatAI/Llama-2-7b-evol-code-alpaca-pruned_70","RedHatAI/Llama-2-7b-pruned70-retrained","finetune","high","explicit_tag | base_model:finetune:RedHatAI/Llama-2-7b-pruned70-retrained | validated: child_id 'neuralmagic/Llama-2-7b-evol-code-alpaca-pruned_70' -> 'RedHatAI/Llama-2-7b-evol-code-alpaca-pruned_70'"
"DavidAU/ERNIE-4.5-37B-A3B-Thinking-Brainstorm20x","baidu/ERNIE-4.5-21B-A3B-Thinking","finetune","high","explicit_tag | base_model:finetune:baidu/ERNIE-4.5-21B-A3B-Thinking | validated: child_id 'DavidAU/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x' -> 'DavidAU/ERNIE-4.5-37B-A3B-Thinking-Brainstorm20x'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w4a16","deepseek-ai/DeepSeek-R1-Distill-Qwen-7B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-7B-quantized.w4a16' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w4a16'"
"RedHatAI/DeepSeek-R1-Distill-Llama-8B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Llama-8B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Llama-8B-FP8-dynamic' -> 'RedHatAI/DeepSeek-R1-Distill-Llama-8B-FP8-dynamic'"
"RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8","meta-llama/Llama-3.1-8B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-8B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w8a8' -> 'RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8'"
"cyankiwi/Qwen3-4B-Thinking-2507-AWQ-4bit","Qwen/Qwen3-4B-Thinking-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-4B-Thinking-2507 | validated: child_id 'cpatonn/Qwen3-4B-Thinking-2507-AWQ' -> 'cyankiwi/Qwen3-4B-Thinking-2507-AWQ-4bit'"
