"model_id","base_id","inference_type","confidence","inference_source"
"Phind/Phind-CodeLlama-34B-v2","Phind/Phind-CodeLlama-34B-v1","finetune","high","openai_inference"
"monsterapi/llama2-7b-tiny-codes-code-generation","meta-llama/Llama-2-7b-hf","finetune","high","explicit_card | cardData.base_model=meta-llama/Llama-2-7b-hf; cardData.base_model_relation=finetune"
"monsterapi/llama2-7b-tiny-codes-code-generation","meta-llama/Llama-2-7b-hf","adapter","high","explicit_tag | base_model:adapter:meta-llama/Llama-2-7b-hf"
"NVFP4/Qwen3-0.6B-FP4","Qwen/Qwen3-0.6B","quantized","high","explicit_card | cardData.base_model=Qwen/Qwen3-0.6B; cardData.base_model_relation=quantized"
"RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Qwen-14B","finetune","high","explicit_card | cardData.base_model=deepseek-ai/DeepSeek-R1-Distill-Qwen-14B; cardData.base_model_relation=finetune"
"RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Qwen-14B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B"
"QuantFactory/UIGEN-X-8B-GGUF","Qwen/Qwen3-8B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-8B; cardData.base_model_relation=finetune"
"QuantFactory/UIGEN-X-8B-GGUF","Qwen/Qwen3-8B","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-8B"
"0xA50C1A1/Qwen3-8B-Heretic","unsloth/Qwen3-8B","finetune","high","explicit_card | cardData.base_model=unsloth/Qwen3-8B; cardData.base_model_relation=finetune"
"uaytug/uCoder-8b-base-GGUF","uaytug/uCoder-8b-base","finetune","high","explicit_card | cardData.base_model=uaytug/uCoder-8b-base; cardData.base_model_relation=finetune"
"uaytug/uCoder-8b-base-GGUF","uaytug/uCoder-8b-base","quantized","high","explicit_tag | base_model:quantized:uaytug/uCoder-8b-base"
"unsloth/Qwen3-4B-Thinking-2507-FP8","Qwen/Qwen3-4B-Thinking-2507-FP8","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-4B-Thinking-2507-FP8; cardData.base_model_relation=finetune"
"unsloth/Qwen3-4B-Thinking-2507-FP8","Qwen/Qwen3-4B-Thinking-2507-FP8","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-4B-Thinking-2507-FP8"
"nightmedia/Qwen3-42B-A3B-Spock-Brutal-Recall-Instruct-qx86-hi-mlx","mradermacher/Qwen3-42B-A3B-Spock-Brutal-Recall-Instruct-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-42B-A3B-Spock-Brutal-Recall-Instruct; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-42B-A3B-Spock-Brutal-Recall-Instruct' -> 'mradermacher/Qwen3-42B-A3B-Spock-Brutal-Recall-Instruct-i1-GGUF'"
"0xSero/GLM-4.7-REAP-40-W4A16","yhavinga/GLM-4.7-REAP-40p-GGUF","quantized","high","explicit_card | cardData.base_model=0xSero/GLM-4.7-REAP-40; cardData.base_model_relation=quantized | validated: base_id '0xSero/GLM-4.7-REAP-40' -> 'yhavinga/GLM-4.7-REAP-40p-GGUF'"
"prithivMLmods/Calcium-Opus-14B-Elite","Qwen/Qwen2.5-14B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-14B-Instruct; cardData.base_model_relation=finetune"
"TheBloke/CodeUp-Alpha-13B-HF-GPTQ","TheBloke/CodeUp-Alpha-13B-HF-GGUF","finetune","high","explicit_card | cardData.base_model=deepse/CodeUp-alpha-13b-hf; cardData.base_model_relation=finetune | validated: base_id 'deepse/CodeUp-alpha-13b-hf' -> 'TheBloke/CodeUp-Alpha-13B-HF-GGUF'"
"EmbeddingStudio/query-parser-falcon-7b-instruct","tiiuae/falcon-7b-instruct","finetune","high","explicit_card | cardData.base_model=tiiuae/falcon-7b-instruct; cardData.base_model_relation=finetune"
"EmbeddingStudio/query-parser-falcon-7b-instruct","tiiuae/falcon-7b-instruct","adapter","high","explicit_tag | base_model:adapter:tiiuae/falcon-7b-instruct"
"prithivMLmods/Calcium-Opus-14B-Elite2-R1","prithivMLmods/Calcium-Opus-14B-Elite2","finetune","high","explicit_card | cardData.base_model=prithivMLmods/Calcium-Opus-14B-Elite2; cardData.base_model_relation=finetune"
"henryen/OriGen","deepseek-ai/deepseek-coder-7b-instruct-v1.5","finetune","high","explicit_card | cardData.base_model=deepseek-ai/deepseek-coder-7b-instruct-v1.5; cardData.base_model_relation=finetune"
"henryen/OriGen","deepseek-ai/deepseek-coder-7b-instruct-v1.5","adapter","high","explicit_tag | base_model:adapter:deepseek-ai/deepseek-coder-7b-instruct-v1.5"
"mattolad/distilbert-base-uncased-lora-text-classification","distilbert/distilbert-base-uncased","finetune","high","explicit_card | cardData.base_model=distilbert-base-uncased; cardData.base_model_relation=finetune | validated: base_id 'distilbert-base-uncased' -> 'distilbert/distilbert-base-uncased'"
"mattolad/distilbert-base-uncased-lora-text-classification","distilbert/distilbert-base-uncased","adapter","high","explicit_tag | base_model:adapter:distilbert/distilbert-base-uncased"
"ThomasTheMaker/Qwen3-4B-RKLLM-v1.2.0","Qwen/Qwen3-4B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-4B-Base; cardData.base_model_relation=finetune"
"codys12/OpenReasoning-Nemotron-32B","Qwen/Qwen2.5-32B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-32B-Instruct; cardData.base_model_relation=finetune"
"codys12/OpenReasoning-Nemotron-32B","Qwen/Qwen2.5-32B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-32B-Instruct"
"NVFP4/Qwen3-Coder-30B-A3B-Instruct-FP4","Qwen/Qwen3-Coder-30B-A3B-Instruct","quantized","high","explicit_card | cardData.base_model=Qwen/Qwen3-Coder-30B-A3B-Instruct; cardData.base_model_relation=quantized"
"Svngoku/c4ai-command-r7b-12-2024-4bit","CohereLabs/c4ai-command-r7b-12-2024","finetune","high","explicit_card | cardData.base_model=CohereForAI/c4ai-command-r7b-12-2024; cardData.base_model_relation=finetune | validated: base_id 'CohereForAI/c4ai-command-r7b-12-2024' -> 'CohereLabs/c4ai-command-r7b-12-2024'"
"Svngoku/c4ai-command-r7b-12-2024-4bit","CohereLabs/c4ai-command-r7b-12-2024","quantized","high","explicit_tag | base_model:quantized:CohereLabs/c4ai-command-r7b-12-2024"
"DavidAU/Qwen3-VL-12B-Instruct-Brainstorm20x","Qwen/Qwen3-VL-8B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-VL-8B-Instruct; cardData.base_model_relation=finetune"
