entity_id,entity_type,issues,status
MaziyarPanahi/Mistral-7B-Instruct-v0.1-AWQ,Model,created_user_node;user_published_model;created_task_node;model_defined_for;created_paper_stub;model_cites_paper,ok
carsenk/llama3.2_1b_2025_uncensored_v2,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
prithivMLmods/Muscae-Qwen3-UI-Code-4B-GGUF,Model,created_user_node;user_published_model;model_defined_for,ok
dgtalbug/stable-code-instruct-3b,Model,created_user_node;user_published_model;model_defined_for,ok
doss1232/Offensive-Qwen-2.5-Coder-7B,Model,created_user_node;user_published_model;created_dataset_stub;model_trained_on,ok
henryen/OriGen_Fix,Model,created_user_node;user_published_model;created_paper_stub;model_cites_paper,ok
RichardErkhov/internlm_-_internlm2-chat-7b-gguf,Model,created_user_node;user_published_model,ok
SEBIS/code_trans_t5_base_source_code_summarization_csharp,Model,created_user_node;user_published_model;created_task_node;model_defined_for,ok
SonarSource/SonarSweep-java-gpt-oss-20b,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
bhargavcn/code-gen-gpt2,Model,created_user_node;user_published_model,ok
lordofsinqwde/Qwen3-4B,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
TheBloke/Pandalyst_13B_V1.0-GGUF,Model,created_user_node;user_published_model,ok
